"time","US.GA.524.sa","US.MA.506.sa","US.NC.517.sa","US.IL.602.sa","US.OH.510.sa","US.TX.623.sa","US.CO.751.sa","US.MI.505.sa","US.NV.839.sa","US.CA.803.sa","US.FL.528.sa","US.MN.613.sa","US.NY.501.sa","US.AZ.753.sa","US.OR.820.sa","US.CA.825.sa","US.CA.807.sa","US.WA.819.sa","US.FL.539.sa","US.MD.511.sa"
2006-04-01,35.1689479917262,26.2115816157686,44.5514636429502,28.2722876657667,47.3538879878725,39.6022356406172,36.2498901455164,22.6370202662917,20.628235501954,28.2076956034395,22.65842931949,19.1537951184872,23.6782016082788,22.4531807695284,31.8445603444767,24.7821445486362,38.1500447672463,38.5715231729352,22.5432392372477,30.2543798764383
2006-05-01,35.0995241114962,30.2533111148253,48.1987167163008,25.71582372053,30.1787140330076,42.7796033714454,56.0477548594673,24.5311355357757,23.5355007221707,29.1195644111302,24.3558592800267,26.3855500294845,26.8538271448434,24.077947541157,33.4373514215621,23.9525378356154,42.4468193590246,35.3680990318485,35.0823737127759,38.6705787754884
2006-06-01,33.192246780966,26.9210192737181,45.9406821431371,25.188142659753,44.2284984561281,36.9687324351312,53.7698328977157,21.6638502912737,21.8742825399689,29.3851067043984,19.1428853863092,27.0409378027953,26.1392183543791,21.4604168956721,26.7014912251146,23.0642582161618,43.8999225574355,37.5815125534944,30.572449800761,35.0847798089236
2006-07-01,31.306856456699,29.3045001428297,69.7725026118248,27.9440494201293,35.0671887899047,47.5070172890646,56.9489733605777,26.1415366132306,20.3456713108439,31.1358946958162,25.353077351524,26.0094940510249,28.2445900456286,19.3697239136205,32.1691476789311,22.7940311102214,43.8249724199175,39.283526691951,22.6507312837739,36.8359418523003
2006-08-01,33.5063866785686,31.7135103757181,48.8071273693678,34.4707395437747,43.1374193490143,53.597247334364,63.0438026058522,31.5427578343862,26.7698435598353,32.2809430978321,30.2308479978837,26.7954118986828,26.7484352567273,24.7140750990153,44.0404103195685,25.6295323359243,48.9760327220189,40.2682511779471,32.2035526606723,39.1254062435903
2006-09-01,37.3576578608086,27.5095693775511,39.6385123255749,36.2551609353557,32.480594226685,47.9282887116435,56.8524795668414,29.8203951139392,26.3653321869218,31.2732538467415,25.7536054858562,35.1553843111081,28.5648202722956,31.4372572210095,32.4895969842922,29.4140394674867,44.194278827796,43.8668905489845,33.4934876855674,42.6937866913185
2006-10-01,39.2213928461688,32.2131701621601,37.9153266826077,29.0593835216756,31.2787960196804,38.9961877483944,35.0230788231694,29.6817551265794,29.4571708657167,33.5183217372638,26.4301058836756,30.1014796995789,31.3307483461341,18.807076601592,29.0704971670736,34.4196590050107,48.968660122946,37.0019002386428,42.1348970706386,34.0621240645063
2006-11-01,39.4675562231445,31.4879785308669,47.4050717871062,31.9988741635068,43.3233382725803,41.8140260038861,47.1528234071917,29.8848776076384,28.3803278035252,34.9941702667903,28.6239262051132,36.8158126383378,29.6887299666805,25.2542562267743,20.5590257481217,30.0835893597171,50.9928494761365,33.9032891465641,27.903766211016,37.4271689980488
2006-12-01,31.2747884839054,39.1380998203812,52.4445153912237,28.9124115812063,41.5412796653203,46.0245078252138,49.0093297838622,25.0128702802532,24.9297650753291,35.7211646048705,22.7839950226009,36.1914980608337,31.9508245456362,28.9632170438562,28.5504678381366,26.9622837137568,46.7878656226944,32.3612862528622,32.0241029303525,43.0613846826897
2007-01-01,33.9274517790894,38.3776856625761,52.0829687229069,26.2113251504184,34.2092870617672,43.5802456827363,47.0047929784765,39.7243780759705,31.0992601339046,38.2503808334607,25.2277116336789,36.6422525278335,31.9491235526862,25.1939057538651,30.549912339894,31.5696324255577,43.3829780789664,34.3263711595755,26.3514137326501,47.2630096503879
2007-02-01,42.7029928232028,36.8095075764465,42.8738108638715,29.9364071406059,37.8519325303087,45.977101046604,44.4648528943735,35.5557293840903,29.4390299031101,39.7484774294439,31.0924198028417,36.5947593033694,33.1623623019592,27.8262637954939,25.1055211981813,32.2656183379576,46.2604579508673,29.6936861368095,34.2352043578518,43.7266085512303
2007-03-01,49.2853081409327,62.7321646220049,60.5078933996634,39.043038903666,39.6749911474116,47.8470173542442,48.8716286020894,39.8906108278983,29.0711752057081,44.1649967386445,32.1442473467654,37.2091988968441,42.8884993381479,35.1375843113015,41.1296591130332,39.8992624434016,67.1176017573147,57.6165508211671,41.0355092449046,59.5810737218706
2007-04-01,47.7499067001898,47.0041066564772,56.1548507643274,49.004418353727,45.7954247830878,52.9813626119154,46.474440393793,42.82219711056,34.4182283346968,45.7875044359031,29.4246325353908,41.3338251424742,42.555793547219,33.8575258766708,43.7845096722886,45.7139355636702,80.1495188192039,49.8845282323455,43.0329091680486,59.487203232483
2007-05-01,43.1527532846321,44.258567640792,60.4495309388682,43.2028880703039,51.3765685847248,47.1622487063595,56.0462200743306,49.2546601942062,35.1992280294591,46.6257682525333,35.7898921397585,39.5489717334995,33.4795026381276,30.1927828277122,32.4244130695855,45.4955421825328,63.5766375303785,42.6234993303283,35.1731023329727,53.5234012874461
2007-06-01,41.6578356722678,46.2498667666111,56.0561281585654,40.3009047526066,44.988418060874,47.8618999186262,55.7614190003469,42.2684056534638,41.8984431454735,49.0121954817078,35.2656276777087,45.8700938962055,35.500639335064,30.7528878249208,35.945520951231,44.7926919317824,63.2880226660843,43.9111182264103,40.301002907376,55.9285891494484
2007-07-01,45.4990321983414,50.4728758170291,48.2363939799537,43.9118532687057,56.7277685200722,50.4051140913265,68.5323802879954,48.0837809119875,43.3304100781466,51.3593647810035,43.3211453658443,46.4991571400697,41.8165505143988,31.1505617948253,33.1157584530592,52.5983422819785,74.8755406042605,47.23949183045,44.3656984738884,68.8119872753672
2007-08-01,61.0538245785204,59.2723100894349,73.5687696490981,55.1535178937784,58.9014201908565,62.4237779021125,74.3361920382534,55.6131690354482,52.6809698971008,56.4328405566019,47.1715697505051,63.7318580211292,48.3143185395163,55.2562094478039,48.6287683194022,72.5341093540854,77.3869576968253,65.891271597581,74.3844295247764,73.343566623402
2007-09-01,58.3525211847059,62.3572563006084,76.7368801082456,55.3908719481235,60.7199930049985,61.4309384643715,80.0561505352612,50.908386269303,44.0385836859602,60.0528215253453,46.8243525832935,56.9955411522794,53.0856269120917,49.0371030659703,46.4149971048511,64.7802667219763,81.7841415461086,61.9076483738447,61.4998867510446,83.2707355761968
2007-10-01,55.2979335341985,57.0320494371413,81.9848162080829,50.1023617489599,54.2916086013205,67.9792798868436,60.1944720009132,46.8569662787394,49.4828726178905,59.9105057037408,46.7470741802972,66.656353944679,47.1367481726776,55.2994248212044,39.4517778303538,51.2203407525851,72.4333882830009,52.6952682993709,62.6822806897759,72.4209645928803
2007-11-01,57.3740321252406,70.2975097381952,68.3003178155805,58.4813026547099,87.2629042873269,76.4686442492816,68.4843052799638,59.8386354994307,49.8981145727163,64.5841567635982,55.1230794194458,60.7452309150213,60.3926297433245,58.4199209458955,60.465772365407,54.5222382271796,74.2634329623123,66.6622021528383,66.0030430896586,82.9173422738582
2007-12-01,55.3957074310419,57.0384419994677,68.8594743934955,52.7959693263211,61.6416206503261,58.6283985353198,75.3072432538736,56.2905366064236,58.026738674482,65.2012133784836,52.8408798257065,55.8428890203127,56.0093892613335,49.1633981372103,44.1223808335164,71.9032865432547,71.5726557844749,57.6302795690756,60.0021018602888,69.8378176937573
2008-01-01,56.2903260360076,68.3920194100219,63.1603139472702,56.1669310842595,69.6370985320665,62.8367570776303,76.498936132923,53.2688814467577,54.4401745089568,70.8961193350626,58.0010976670238,60.7298530855725,58.1431903485854,51.7495410814077,48.1399193931381,70.6414431925525,86.2617514720579,62.0672452820661,62.7751174565321,81.5540568303843
2008-02-01,60.0930553806129,77.9723369841155,61.1282337340543,61.7432772299187,58.1982550502942,75.594923924597,70.6219475995292,63.8966688053579,61.2659779419924,71.8338128838045,54.1474188903579,64.0059008162668,55.8198083989373,52.9978711390432,51.1411410249729,69.1796480325118,92.9250679342925,55.8001447172405,62.0563078904444,83.6292320052685
2008-03-01,61.0677430625055,76.8773278444714,70.011818060557,62.1142265100245,64.5387600183636,78.8212573665975,73.306300415899,62.7685244927985,67.3397084683566,74.8931593905685,64.3283403344095,73.2579805799864,65.2022750223833,62.4129340601539,51.1830002148826,72.9039457528917,91.4341283968119,69.5120185662628,74.9733091006262,89.1876915592465
2008-04-01,64.24271289085,76.8113557463881,69.6276704837576,59.3699738784527,72.8798290432376,71.9534862612816,75.288464355881,62.6272747306244,62.1098225105476,75.8188207608719,62.5917285129067,77.7754814804474,66.4571763160776,58.2607675327779,49.7537585866755,75.6223624881269,87.0941474974329,67.7584839964346,78.1262222722035,89.6835699668622
2008-05-01,73.6612833863754,81.2387659970465,72.8582488683007,65.8331632596179,65.7193187394515,66.1545284052604,82.5386963972714,52.6362024476223,63.7646359643585,79.4083584509735,66.3323016484227,77.5669586749118,66.0822174717401,59.3409983408431,57.7564780217814,76.0582672116642,88.5064571934676,70.4900727141872,62.1728362636992,75.321991563354
2008-06-01,73.374934592539,77.4130211639857,88.083657408972,68.5106424485789,71.3486622201946,68.379902604447,80.655021007245,52.6845992603553,69.9429202137436,79.2589715801882,69.1250474423542,71.2901819361617,69.4470237399434,65.7711965038763,52.379183529814,78.6655533550847,89.0681765581045,75.26652674723,68.5766105089632,77.8740314987206
2008-07-01,76.6287509083938,82.3940870835147,78.1331316573407,71.855115051954,69.4993634986538,81.3839491772658,80.1168147187329,59.3532039463433,69.0099949737173,83.1781933700896,73.0888885407476,82.6738290379779,64.3960892377104,69.1147636258333,55.8240937026924,76.674020482026,92.2906684001416,76.8680313135005,77.4502812107789,80.5450448138318
2008-08-01,70.8514068929662,75.0299421878772,73.0365438501375,58.1089407120498,66.8828009372757,66.7327185877464,67.7511218587766,65.1046845609344,63.1636413922427,79.3718299150605,66.1199307803129,61.1490273210054,63.3788763441465,60.3902361552685,38.5370287084823,76.1917913893034,79.1200274752737,62.1128955449064,64.8298382630844,60.9872656541503
2008-09-01,79.5700196047273,81.5782315474797,68.4118782962583,67.4780686116187,81.8104999214194,76.185369516743,84.6970181369838,71.9090324696845,71.6862319094485,82.9869265429236,78.3536991893462,65.2524724172355,70.0040872126027,67.3018199599475,54.7715480475305,99.8799194799352,90.6502894938344,81.1619602552666,90.5321690413661,71.0047628803934
2008-10-01,75.479268620087,90.5952591308369,80.0413965516589,76.1555005755569,90.4778369275205,78.562668013309,87.5525370785989,73.3193114347704,71.5892047953084,82.778305756643,89.9990698390932,77.6162367166084,86.0649795733457,75.4995102509763,75.7869616448899,77.4347882496913,87.1256354815035,89.3198921252031,71.3583883358021,79.9512936456214
2008-11-01,78.8330348349047,77.9796885362545,76.1557941884255,69.516646516104,68.8520256468608,78.8288194981881,83.0798369536458,68.0745857426738,73.2932411301982,81.9031683266688,87.3232243190234,76.753440583114,80.1693316578107,72.1929586479136,70.138741782698,75.7075659779868,85.5718106164852,85.972008913506,86.4549219994023,71.8080642448513
2008-12-01,85.4131201627617,84.0704176139388,82.3380422774454,74.1646977431095,81.8402926801963,85.0624958211751,84.8706846104472,76.9480759309754,67.0731125486281,82.6390127516119,89.8622409684643,74.0310745933905,79.4923865634017,77.0409345561419,60.990928496015,92.9167891511578,87.8539958369783,79.3440163680154,96.6524494031589,74.2985760663734
