geo,geo.type,geo.description,date,mdri.log.diff,mdri.cum
US,Country,US,2018-03-16,-0.0899873774388242,0.00085626249848337
US,Country,US,2018-03-17,0.0605475217929044,0.0614037842913878
US,Country,US,2018-03-18,-0.0847213867953727,-0.0233176025039849
US,Country,US,2018-03-19,0.174336618897854,0.151019016393869
US,Country,US,2018-03-20,0.0746746885304678,0.225693704924337
US,Country,US,2018-03-21,-0.0827072057234878,0.142986499200849
US,Country,US,2018-03-22,-0.0435548136181637,0.0994316855826851
US,Country,US,2018-03-23,-0.0123221335098203,0.0871095520728649
US,Country,US,2018-03-24,-0.113782556441738,-0.0266730043688735
US,Country,US,2018-03-25,0.174302246792945,0.147629242424072
US,Country,US,2018-03-26,0.0485309542286504,0.196160196652722
US,Country,US,2018-03-27,-0.0270538709159848,0.169106325736737
US,Country,US,2018-03-28,-0.08629520299245,0.0828111227442874
US,Country,US,2018-03-29,0.0156649122483869,0.0984760349926743
US,Country,US,2018-03-30,-0.0541840985470503,0.0442919364456239
US,Country,US,2018-03-31,-0.0125801093276158,0.0317118271180081
US,Country,US,2018-04-02,0.29441024756313,0.326122074681138
US,Country,US,2018-04-03,-0.00322540319899083,0.322896671482147
US,Country,US,2018-04-04,0.0169014561436385,0.339798127625786
US,Country,US,2018-04-05,0.0210733641337368,0.360871491759522
US,Country,US,2018-04-06,-0.122756912700038,0.238114579059484
US,Country,US,2018-04-07,0.0135360226320902,0.251650601691574
US,Country,US,2018-04-08,-0.0214666108178694,0.230183990873705
US,Country,US,2018-04-09,0.110277212168663,0.340461203042368
US,Country,US,2018-04-10,-0.0908278181768176,0.249633384865551
US,Country,US,2018-04-11,-0.0082814580244251,0.241351926841126
US,Country,US,2018-04-12,-0.0386188551049864,0.202733071736139
US,Country,US,2018-04-13,-0.0700942886677563,0.132638783068383
US,Country,US,2018-04-14,-0.0397822525441886,0.0928565305241942
US,Country,US,2018-04-15,0.0835559888949431,0.176412519419137
US,Country,US,2018-04-16,0.0534912416496364,0.229903761068774
US,Country,US,2018-04-17,0.0115744523180312,0.241478213386805
US,Country,US,2018-04-18,0.0113183659218302,0.252796579308635
